"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","date","time"
"11","Megabus site won't let me choose a departure date therefore I can't purchase my ticket. Guess they want me to stay in NY",FALSE,0,NA,2016-04-26 16:32:00,FALSE,NA,724999622767299968,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MissLadE_Sings",0,FALSE,FALSE,NA,NA,"04-26-16","16:32:00"
"12","The Megabus of the air!  https://t.co/NbiTeYPC3O",FALSE,0,NA,2016-04-26 16:31:00,FALSE,NA,724999313043004928,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","change_thoughts",0,FALSE,FALSE,NA,NA,"04-26-16","16:31:00"
"13","Someone on this Megabus is watching Kelly Ripa's monologue about workplace respect very loudly without headphones.",FALSE,0,NA,2016-04-26 16:26:00,FALSE,NA,724998066244312960,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","galinja",0,FALSE,FALSE,NA,NA,"04-26-16","16:26:00"
"14","@MegabusHelp Waited till 5.30am for megabus, it didn't arrive, so paid &amp; took coachusa bus frm Mad-Chi. Rsn: 20-3460-042616-M4R-0530-UOW-CHI",FALSE,0,"MegabusHelp",2016-04-26 16:09:00,FALSE,NA,724993837005982976,533270484,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","elexhobby",0,FALSE,FALSE,NA,NA,"04-26-16","16:09:00"
"15","I love dusting my crusty ass face off and doing some makeup on a moving bus. NYC here I come #megabus",FALSE,0,NA,2016-04-26 15:58:00,FALSE,NA,724990931162696960,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kneecoaallyn",0,FALSE,FALSE,NA,NA,"04-26-16","15:58:00"
"16","@Anna_photo @megabus ""MegaBus: We Make Walking Look Preferrable!""",FALSE,2,"Anna_photo",2016-04-26 15:51:00,FALSE,7.25e+17,724989357610950144,174743718,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kalmes0",1,FALSE,FALSE,NA,NA,"04-26-16","15:51:00"
"17","@Anna_photo @megabus The poor customer service saga continues.",FALSE,1,"Anna_photo",2016-04-26 15:44:00,FALSE,7.25e+17,724987485814590976,174743718,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SusannaTran",1,FALSE,FALSE,NA,NA,"04-26-16","15:44:00"
"18","Three Hour Masturbation On Megabus Lands Man In Jail https://t.co/PmD3Z4Of3t https://t.co/t3mXcCyF15",FALSE,0,NA,2016-04-26 15:43:00,FALSE,NA,724987282244004992,NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","drboycewatkins1",0,FALSE,FALSE,NA,NA,"04-26-16","15:43:00"
"19","@megabus Everyone at Glastonbury on 23 June needs postal vote for #EUref. Here's the link to register https://t.co/HJuVzQyUrv Pls RT",FALSE,0,"megabus",2016-04-26 15:33:00,FALSE,NA,724984842140659072,30965315,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bakehouse2016",0,FALSE,FALSE,NA,NA,"04-26-16","15:33:00"
"20","@breathingstops like å£20 which isn't THAT BAD but I mean it's expensive for megabus",FALSE,0,"breathingstops",2016-04-26 15:31:00,FALSE,7.25e+17,724984140416864000,2217945237,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BURNEDTHECHURCH",0,FALSE,FALSE,NA,NA,"04-26-16","15:31:00"
"21","I've used the @megabus &amp; @GOtransit  1s on long distance &amp; felt safe  also @translink uses them in Vctra. @mittenfight @OC_Transpo",FALSE,0,"OC_Transpo",2016-04-26 15:25:00,FALSE,7.25e+17,724982701439111040,126447030,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ottawa_Biker",0,FALSE,FALSE,NA,NA,"04-26-16","15:25:00"
"22","How to contact one. Also the @megabus rep that called this morning, then hung up on me, when I asked for one.",FALSE,0,"Anna_photo",2016-04-26 15:12:00,FALSE,7.25e+17,724979554922684032,174743718,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Anna_photo",0,FALSE,FALSE,NA,NA,"04-26-16","15:12:00"
"23","THERE IS A WORKING CHARGER SOCKET ON THIS MEGABUS OMG I HAVE BEEN BLESSED",FALSE,0,NA,2016-04-26 15:11:00,FALSE,NA,724979147446063104,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Berry__Bitch",0,FALSE,FALSE,NA,NA,"04-26-16","15:11:00"
"24","So mega update on @megabus situation. They DM'ed me saying that a manager wouldn't be able to help me further, and refused to tell me how",FALSE,0,NA,2016-04-26 15:11:00,FALSE,NA,724979135907564928,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Anna_photo",0,FALSE,FALSE,NA,NA,"04-26-16","15:11:00"
"25","Sign of wealth for nonprofit = CEO can take the train in the northeast instead of Megabus! #Flossin",FALSE,2,NA,2016-04-26 15:10:00,FALSE,NA,724978919644880000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","khalil_fuller",0,FALSE,FALSE,NA,NA,"04-26-16","15:10:00"
"26","@JuuJuugurl @megabus still hasn't put me in touch with a manager. Lol",FALSE,0,"JuuJuugurl",2016-04-26 15:02:00,FALSE,7.25e+17,724977015946928000,469460865,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Anna_photo",0,FALSE,FALSE,NA,NA,"04-26-16","15:02:00"
"27","I dislike the nickname Acela primary. Greyound/Megabus/sometimes NE regional-if-there‰Ûªs-a-good-deal primary seems more fitting to me",FALSE,3,NA,2016-04-26 15:02:00,FALSE,NA,724976957725744896,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","JamesArkin",0,FALSE,FALSE,NA,NA,"04-26-16","15:02:00"
"28","You mean the Megabus Primary?  https://t.co/X1EpIuaqmm",FALSE,1,NA,2016-04-26 14:59:00,FALSE,NA,724976291158494976,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MattLaslo",1,FALSE,FALSE,NA,NA,"04-26-16","14:59:00"
"29","There's a guy on my megabus who's been talking loudly on the phone in Russian for over half an hour and it's driving me insane",FALSE,0,NA,2016-04-26 14:39:00,FALSE,NA,724971070265121920,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JackLazarusWard",0,FALSE,FALSE,NA,NA,"04-26-16","14:39:00"
"30","@megabus loves to steal your money. They don't care about you at all. Capitalism at its finest.",FALSE,0,"megabus",2016-04-26 14:31:00,FALSE,NA,724969185130983040,30965315,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DaveHonda89",0,FALSE,FALSE,NA,NA,"04-26-16","14:31:00"
"31","MegaBus primary‰Û_.better?  https://t.co/xWzeM6fb6u",FALSE,0,NA,2016-04-26 14:11:00,FALSE,NA,724964158320566016,NA,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RealDarrenCohen",0,FALSE,FALSE,NA,NA,"04-26-16","14:11:00"
"32","@Alleighgator I was literally thinking that when I was listening to it in the megabus",FALSE,1,"Alleighgator",2016-04-26 13:59:00,FALSE,7.25e+17,724961204146441984,198190002,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","helter_skeleton",0,FALSE,FALSE,NA,NA,"04-26-16","13:59:00"
"33","@asmith83 The Megabus Primary",FALSE,2,"asmith83",2016-04-26 13:47:00,FALSE,7.25e+17,724957954261323008,7591572,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BenjySarlin",0,FALSE,FALSE,NA,NA,"04-26-16","13:47:00"
"34","@bdgflint Although I did do a Megabus from Glasgow to London 5 years ago and thought I wouldn't survive the journey",FALSE,1,"bdgflint",2016-04-26 13:21:00,FALSE,7.25e+17,724951600318536960,2363732288,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Steven_Armour",0,FALSE,FALSE,NA,NA,"04-26-16","13:21:00"
"35","Megabus return journeys from Edinburgh to London are å£6. 8 hour journey time. Worth it?",FALSE,0,NA,2016-04-26 13:20:00,FALSE,NA,724951238937336960,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Steven_Armour",0,FALSE,FALSE,NA,NA,"04-26-16","13:20:00"
"36","@JAYFABPAGE @ArrivaTW they are a rip off jay! Get on the megabus to London for that",FALSE,1,"JAYFABPAGE",2016-04-26 13:17:00,FALSE,7.25e+17,724950654213574144,79859635,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MeganBx",0,FALSE,FALSE,NA,NA,"04-26-16","13:17:00"
"37","#Job #Manhattan https://t.co/lOH0goTqkL Student Ambassador - https://t.co/lOH0goTqkL - New York, NY: GA - Atlan... https://t.co/eh0V80LBxB",FALSE,0,NA,2016-04-26 13:10:00,FALSE,NA,724948840076332928,NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","JobManhattan",0,FALSE,FALSE,NA,NA,"04-26-16","13:10:00"
"38","""NO FAIR MY POLLING PLACE DIDN'T HAVE STICKERS!!"" is what I just shouted at the driver of this Megabus as I saw his ""I Voted"" sticker.",FALSE,6,NA,2016-04-26 12:50:00,FALSE,NA,724943753111326080,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","galinja",0,FALSE,FALSE,NA,NA,"04-26-16","12:50:00"
"39","@Jammy_Robinson yeah Norwich, å£34. An we can get the megabus or something an that's like 6 quid from Worc.",FALSE,1,"Jammy_Robinson",2016-04-26 12:23:00,FALSE,7.25e+17,724937018128632960,498708417,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Yeahluketweets",0,FALSE,FALSE,NA,NA,"04-26-16","12:23:00"
"40","Taking @megabus today from NYC to Burlington, VT = the @BernieSanders route.#PrimaryDay #SuperTuesday#FeelTheBern",FALSE,1,NA,2016-04-26 12:15:00,FALSE,NA,724935000341286144,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HMPita",0,FALSE,FALSE,NA,NA,"04-26-16","12:15:00"
"41","@megabusuk ...get off &amp; go try the city or stagecoach services if urgently needing to be back sooner than the next megabus...",FALSE,0,"megabusuk",2016-04-26 12:02:00,FALSE,7.25e+17,724931590707617024,210765002,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shecallsceilidh",0,FALSE,FALSE,NA,NA,"04-26-16","12:02:00"
"42","#Job Alert: #NewYork #Jobs https://t.co/gi20iiuJIV Student Ambassador -‰Û_ https://t.co/7HKk8c1h9l For More Jobs &gt;&gt;&gt; Please Go2 our Page!",FALSE,0,NA,2016-04-26 12:02:00,FALSE,NA,724931554980540032,NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","NewYork_JobsUSA",0,FALSE,FALSE,NA,NA,"04-26-16","12:02:00"
"43","I'm more of a Megabus primary guy myself tbh",FALSE,15,NA,2016-04-26 11:52:00,FALSE,NA,724929022954758144,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rob_Flaherty",1,FALSE,FALSE,NA,NA,"04-26-16","11:52:00"
"44","@MackenzieOster1 @SocialJamFest look up megabus",FALSE,0,"MackenzieOster1",2016-04-26 11:48:00,FALSE,7.25e+17,724928100291760000,7.01e+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thomasromelo",0,FALSE,FALSE,NA,NA,"04-26-16","11:48:00"
"45","please overthrow the government for me everyone. lemme know when its safe and ill buy a megabus ticket.",FALSE,0,"jaaaaaaaaaaayne",2016-04-26 11:43:00,FALSE,7.25e+17,724926915614772992,21568012,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jaaaaaaaaaaayne",0,FALSE,FALSE,NA,NA,"04-26-16","11:43:00"
"46","is getting the megabus pop punk?",FALSE,5,NA,2016-04-26 11:14:00,FALSE,NA,724919478534950144,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","helter_skeleton",1,FALSE,FALSE,NA,NA,"04-26-16","11:14:00"
"47","Free megabus tickets https://t.co/2qzwr9Fkf3",FALSE,0,NA,2016-04-26 11:11:00,FALSE,NA,724918802245377920,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","melgillSSGT",0,FALSE,FALSE,NA,NA,"04-26-16","11:11:00"
"48","On a little adventure to Bristol! #Shakespeare #Megabus",FALSE,0,NA,2016-04-26 11:10:00,FALSE,NA,724918689842208000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sydneyamee",0,FALSE,FALSE,NA,NA,"04-26-16","11:10:00"
"49","Free megabus tickets https://t.co/On1GbGHQmn",FALSE,0,NA,2016-04-26 11:09:00,FALSE,NA,724918366331395968,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","melgillSSGT",0,FALSE,FALSE,NA,NA,"04-26-16","11:09:00"
"50","This megabus needs to put some pep in its step",FALSE,2,NA,2016-04-26 11:05:00,FALSE,NA,724917246284467968,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theAndySerrato",0,FALSE,FALSE,NA,NA,"04-26-16","11:05:00"
"51","@HarveySimpson97 Where did you go on it? Can't beat a cheap megabus trip man ha xx",FALSE,0,"HarveySimpson97",2016-04-26 11:03:00,FALSE,7.25e+17,724916724223598080,946611914,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kerri_S89",0,FALSE,FALSE,NA,NA,"04-26-16","11:03:00"
"52","Remember when I had to megabus...?? HAHAHA",FALSE,0,NA,2016-04-26 09:41:00,FALSE,NA,724896167537073920,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SuixideSkwad",0,FALSE,FALSE,NA,NA,"04-26-16","09:41:00"
"53","@EmmaSalthouse Hi Emma. You can book some trips via https://t.co/3iWTLcRfcO or just pay your driver on the day. Fares will differ, though.",FALSE,0,"EmmaSalthouse",2016-04-26 09:38:00,FALSE,7.25e+17,724895352382492032,160854172,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","FlySWFalcon",0,FALSE,FALSE,NA,NA,"04-26-16","09:38:00"
"54","@DazzleVintage Hi. You can either buy direct from the driver or go to https://t.co/3iWTLcRfcO to book your tickets in advance.",FALSE,0,"DazzleVintage",2016-04-26 09:37:00,FALSE,7.25e+17,724895188200599040,379050880,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","FlySWFalcon",0,FALSE,FALSE,NA,NA,"04-26-16","09:37:00"
"55","if u can't go dam just get the megabus to brum lool",FALSE,0,NA,2016-04-26 09:34:00,FALSE,NA,724894285292814080,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","d0rms",0,FALSE,FALSE,NA,NA,"04-26-16","09:34:00"
"56","@GOtransit @freshwater4ever its time to do something. If ViaRail, MegaBus, Amtrak and nearly every other company can do it. Why can't u?",FALSE,1,"GOtransit",2016-04-26 09:32:00,FALSE,7.22e+17,724893925635460992,52188923,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brianrcline",0,FALSE,FALSE,NA,NA,"04-26-16","09:32:00"
"57","dear @daraobriain I found something to remind you of @MockTheWeek. It's not the megabus man but it's better https://t.co/yrlxoE7anM",FALSE,0,NA,2016-04-26 09:10:00,FALSE,NA,724888346833592064,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Puttzthewriter",0,FALSE,FALSE,NA,NA,"04-26-16","09:10:00"
"58","4 hour megabus to Manchester isn't the one tho https://t.co/14AbNNwgaZ https://t.co/g7ODkdeguI",FALSE,0,NA,2016-04-26 08:35:00,FALSE,NA,724879687927905920,NA,"<a href=""http://127.0.0.1/"" rel=""nofollow"">Godiva Ricks828</a>","BeBerrigan",0,FALSE,FALSE,NA,NA,"04-26-16","08:35:00"
"59","4 hour megabus to Manchester isn't the one tho",FALSE,0,NA,2016-04-26 08:35:00,FALSE,NA,724879445279031040,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OfficialSideman",0,FALSE,FALSE,NA,NA,"04-26-16","08:35:00"
"60","Pleasantly surprised by the sleeper bus (Megabus) to Perth and back. A snip at å£50 for a return",FALSE,3,NA,2016-04-26 08:29:00,FALSE,NA,724877943755919104,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mjdwaring",0,FALSE,FALSE,-0.1196081,51.5147386,"04-26-16","08:29:00"
"61","Why is there always a crying baby on the Megabus ’Ê_’üÁ",FALSE,2,NA,2016-04-26 08:03:00,FALSE,NA,724871580497619968,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","james_oakley",0,FALSE,FALSE,NA,NA,"04-26-16","08:03:00"
"62","#Scotland are using the public transport for political propaganda like a 3er country. Not every one using the Megabus are agreed with that",FALSE,0,NA,2016-04-26 07:49:00,FALSE,NA,724868018052943104,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","grannyisa",0,FALSE,FALSE,NA,NA,"04-26-16","07:49:00"
"63","@GotMyEdgesMami megabus then",FALSE,0,"GotMyEdgesMami",2016-04-26 07:43:00,FALSE,7.25e+17,724866560360385920,359210635,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__Doug___",0,FALSE,FALSE,NA,NA,"04-26-16","07:43:00"
"64","@megabus 62-2093-042516-M28R-2300-PIT-NEW",FALSE,0,"megabus",2016-04-26 07:15:00,FALSE,7.25e+17,724859423181643008,30965315,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sarakaempf",0,FALSE,FALSE,NA,NA,"04-26-16","07:15:00"
"65","Quality service from @megabus as usual, if I'm lucky I'll only be 20 minutes late, not 30. Ffs.",FALSE,0,NA,2016-04-26 07:10:00,FALSE,NA,724858182808551040,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","SirTerenceBoot",0,FALSE,FALSE,NA,NA,"04-26-16","07:10:00"
"66","I'm stuck on a broken down megabus in State College. Could someone at Penn State send me survival supplies and a pizza?",FALSE,0,NA,2016-04-26 07:00:00,FALSE,NA,724855659792051968,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sarakaempf",0,FALSE,FALSE,NA,NA,"04-26-16","07:00:00"
"67","""You lost your mind rushing here and now I will smugly, unapologetically delay our 8 hours and 25 minutes together"", laughed the Megabus.",FALSE,1,NA,2016-04-26 06:55:00,FALSE,NA,724854371259956992,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","jccmckwn",0,FALSE,FALSE,NA,NA,"04-26-16","06:55:00"
"68","Why is the Seinfeld theme song playing on the megabus???",FALSE,2,NA,2016-04-26 06:34:00,FALSE,NA,724849152543342080,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DarrenPaner",0,FALSE,FALSE,NA,NA,"04-26-16","06:34:00"
"69","@DJCLOCKmpls Thank you Megabus Man for liking this tweet, I hope this too is relevant to your interests:https://t.co/vtyUevp7ql",FALSE,1,"kaifkaesque",2016-04-26 06:07:00,FALSE,7.25e+17,724842351680732928,743886456,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaifkaesque",0,FALSE,FALSE,NA,NA,"04-26-16","06:07:00"
"70","How is one supposed to take a nap when my megabus is fucking baltic? ‰ùã•üè‰ùã•üè‰ùã•üè‰ùã•üè #stiffnips #letmesleep",FALSE,0,NA,2016-04-26 05:51:00,FALSE,NA,724838381415443968,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alimacgrory",0,FALSE,FALSE,NA,NA,"04-26-16","05:51:00"
"71","6am Megabus to Leeds mush!!!!! Tireeeeeeeed squirrel ’Ê_’¡À’Ê_’__’Ê_’¡À #leeds #hereicome #northerndelights https://t.co/yWfczlG3AD",FALSE,2,NA,2016-04-26 05:51:00,FALSE,NA,724838375707020928,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","filthy_squirrel",1,FALSE,FALSE,NA,NA,"04-26-16","05:51:00"
"72","anyone else think the @megabus logo is creepy?",FALSE,0,NA,2016-04-26 05:29:00,FALSE,NA,724832859874275072,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iëÙS</a>","runsammrun",0,FALSE,FALSE,NA,NA,"04-26-16","05:29:00"
"73","Hey are you suppost to tAke care of a megabus.",FALSE,0,NA,2016-04-26 05:13:00,FALSE,NA,724828650823121920,NA,"<a href=""http://www.fuckyou.com"" rel=""nofollow"">wing king</a>","frankyyybabyyy",0,FALSE,FALSE,NA,NA,"04-26-16","05:13:00"
"74","@DRose1218 ride the megabus here and I'll arrange for someone to pik u up.. And go back in Sunday or Monday morning...",FALSE,1,"DRose1218",2016-04-26 04:59:00,FALSE,7.25e+17,724825115393974016,2303253536,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OfficialRedrick",0,FALSE,FALSE,NA,NA,"04-26-16","04:59:00"
"75","My @MegaBus trip: Booked extra seats. ATL &gt; RVA (two on  left). RVA to Char (two aisle). Char to ATL=whole table :D https://t.co/MBVWDPonRn",FALSE,0,NA,2016-04-26 04:41:00,FALSE,NA,724820583654019072,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BearlyDoug",0,FALSE,FALSE,NA,NA,"04-26-16","04:41:00"
"76","Hour 5.5 of the megabus: Sam is now absolutely crashing following the Pick n Mix running low and lucozade is empty. Pray for me followers.",FALSE,0,NA,2016-04-26 04:19:00,FALSE,NA,724815073378753920,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TNT_Sonnen",0,FALSE,FALSE,NA,NA,"04-26-16","04:19:00"
"77","@aloadofhupla @Suribot so what's scarier ryan a megabus or suri's driving",FALSE,1,"aloadofhupla",2016-04-26 04:14:00,FALSE,7.25e+17,724813896800952064,52322143,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","battenshow",0,FALSE,FALSE,NA,NA,"04-26-16","04:14:00"
"78","@battenshow @aloadofhupla Is that a MegabusBecause https://t.co/zhvUPqJJjh",FALSE,0,"battenshow",2016-04-26 04:13:00,FALSE,7.25e+17,724813730744270080,284863257,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Suribot",0,FALSE,FALSE,NA,NA,"04-26-16","04:13:00"
"79","Hour 5 of the megabus: Fat man with oversized trousers waddles back to his seat, those very trousers proceed to fall, and so does he...’Ê_’üâ’Ê_’üâ’Ê_’üâ",FALSE,3,NA,2016-04-26 04:12:00,FALSE,NA,724813369375600000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TNT_Sonnen",0,FALSE,FALSE,NA,NA,"04-26-16","04:12:00"
"80","@bill_is_king it's not that difficult lol.. Hop on a megabus and keep it moving",FALSE,2,"bill_is_king",2016-04-26 04:02:00,FALSE,7.25e+17,724810818609667968,2324983005,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","the_qreen_1",0,FALSE,FALSE,NA,NA,"04-26-16","04:02:00"
